Product_Row_ID,Product_ID,Product_Name,Category_Row_ID,Category,Sub_Category
1,FUR-BO-10001798,Bush Somerset Collection Bookcase,1,Furniture,Bookcases
3,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,3,Office Supplies,Labels
4,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,4,Furniture,Tables
6,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6,Furniture,Furnishings
13,OFF-PA-10002365,Xerox 1967,13,Office Supplies,Paper
14,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,14,Office Supplies,Binders
15,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",15,Office Supplies,Appliances
17,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",17,Office Supplies,Storage
18,OFF-ST-10000107,Fellowes Super Stor/Drawer,18,Office Supplies,Storage
19,OFF-AR-10003056,Newell 341,19,Office Supplies,Art
22,OFF-AR-10000246,Newell 318,22,Office Supplies,Art
24,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",24,Furniture,Chairs
25,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,25,Furniture,Tables
26,OFF-BI-10001634,Wilson Jones Active Use Binders,26,Office Supplies,Binders
28,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",28,Furniture,Bookcases
35,OFF-PA-10000249,Easy-staple paper,35,Office Supplies,Paper
36,TEC-PH-10004977,GE 30524EE4,36,Technology,Phones
38,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",38,Office Supplies,Envelopes
42,TEC-PH-10004093,Panasonic Kx-TS550,42,Technology,Phones
43,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",43,Office Supplies,Storage
44,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",44,Office Supplies,Storage
45,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45,Technology,Accessories
47,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",47,Office Supplies,Storage
48,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,48,Technology,Accessories
50,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",50,Office Supplies,Binders
54,OFF-FA-10000304,Advantus Push Pins,54,Office Supplies,Fasteners
56,OFF-ST-10000604,Home/Office Personal File Carts,56,Office Supplies,Storage
63,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",63,Technology,Accessories
67,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",67,Furniture,Chairs
68,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",68,Office Supplies,Art
70,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",70,Office Supplies,Paper
71,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,71,Office Supplies,Binders
72,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",72,Office Supplies,Paper
73,FUR-CH-10000513,High-Back Leather Manager's Chair,73,Furniture,Chairs
76,OFF-BI-10004182,Economy Binders,76,Office Supplies,Binders
79,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",79,Furniture,Furnishings
80,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",80,Office Supplies,Appliances
82,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",82,Office Supplies,Art
84,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,84,Office Supplies,Envelopes
85,OFF-ST-10003656,Safco Industrial Wire Shelving,85,Office Supplies,Storage
86,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,86,Furniture,Chairs
87,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,87,Technology,Accessories
89,OFF-ST-10003442,Eldon Portable Mobile Manager,89,Office Supplies,Storage
90,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,90,Office Supplies,Art
93,OFF-PA-10003177,Xerox 1999,93,Office Supplies,Paper
96,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,96,Office Supplies,Binders
97,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,97,Furniture,Furnishings
98,OFF-BI-10001721,Trimflex Flexible Post Binders,98,Office Supplies,Binders
99,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,99,Office Supplies,Appliances
100,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,100,Office Supplies,Paper
103,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),103,Office Supplies,Paper
104,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,104,Technology,Accessories
107,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,107,Technology,Accessories
110,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,110,Technology,Accessories
111,FUR-FU-10001934,Magnifier Swing Arm Lamp,111,Furniture,Furnishings
112,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",112,Office Supplies,Art
